Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:56 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:57 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:58 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:59 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:39:59 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:00 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:01 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:01 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:02 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:03 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:03 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:04 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:04 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:05 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:05 2019 : writeSerialRead >>> enter
