Sat Apr 20 20:40:06 2019 : run >>> audio 
Sat Apr 20 20:40:06 2019 : run >>> writeAudio
Sat Apr 20 20:40:06 2019 : run >>> audio 
Sat Apr 20 20:40:06 2019 : run >>> writeAudio
Sat Apr 20 20:40:06 2019 : run >>> audio 
Sat Apr 20 20:40:06 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:07 2019 : run >>> audio 
Sat Apr 20 20:40:07 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:08 2019 : run >>> audio 
Sat Apr 20 20:40:08 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:09 2019 : run >>> audio 
Sat Apr 20 20:40:09 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:10 2019 : run >>> audio 
Sat Apr 20 20:40:10 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:11 2019 : run >>> audio 
Sat Apr 20 20:40:11 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:12 2019 : run >>> audio 
Sat Apr 20 20:40:12 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:13 2019 : run >>> audio 
Sat Apr 20 20:40:13 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:14 2019 : run >>> audio 
Sat Apr 20 20:40:14 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:15 2019 : run >>> audio 
Sat Apr 20 20:40:15 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
